Unnamed: 0	enumeration	enumeration_description
in.county_and_puma	"G5300330, G53011604"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11604"
in.county_and_puma	"G5300330, G53011605"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11605"
in.county_and_puma	"G5300330, G53011606"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11606"
in.county_and_puma	"G5300330, G53011607"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11607"
in.county_and_puma	"G5300330, G53011608"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11608"
in.county_and_puma	"G5300330, G53011609"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11609"
in.county_and_puma	"G5300330, G53011610"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11610"
in.county_and_puma	"G5300330, G53011611"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11611"
in.county_and_puma	"G5300330, G53011612"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11612"
in.county_and_puma	"G5300330, G53011613"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11613"
in.county_and_puma	"G5300330, G53011614"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11614"
in.county_and_puma	"G5300330, G53011615"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11615"
in.county_and_puma	"G5300330, G53011616"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 033, the NHGIS PUMA code is 11616"
in.county_and_puma	"G5300350, G53011801"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 035, the NHGIS PUMA code is 11801"
in.county_and_puma	"G5300350, G53011802"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 035, the NHGIS PUMA code is 11802"
in.county_and_puma	"G5300370, G53010800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 037, the NHGIS PUMA code is 10800"
in.county_and_puma	"G5300390, G53011000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 039, the NHGIS PUMA code is 11000"
in.county_and_puma	"G5300410, G53011000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 041, the NHGIS PUMA code is 11000"
in.county_and_puma	"G5300430, G53010600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 043, the NHGIS PUMA code is 10600"
in.county_and_puma	"G5300450, G53011300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 045, the NHGIS PUMA code is 11300"
in.county_and_puma	"G5300470, G53010400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 047, the NHGIS PUMA code is 10400"
in.county_and_puma	"G5300490, G53011200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 049, the NHGIS PUMA code is 11200"
in.county_and_puma	"G5300510, G53010400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 051, the NHGIS PUMA code is 10400"
in.county_and_puma	"G5300530, G53011501"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 053, the NHGIS PUMA code is 11501"
in.county_and_puma	"G5300530, G53011502"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 053, the NHGIS PUMA code is 11502"
in.county_and_puma	"G5300530, G53011503"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 053, the NHGIS PUMA code is 11503"
in.county_and_puma	"G5300530, G53011504"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 053, the NHGIS PUMA code is 11504"
in.county_and_puma	"G5300530, G53011505"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 053, the NHGIS PUMA code is 11505"
in.county_and_puma	"G5300530, G53011506"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 053, the NHGIS PUMA code is 11506"
in.county_and_puma	"G5300530, G53011507"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 053, the NHGIS PUMA code is 11507"
in.county_and_puma	"G5300550, G53010200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 055, the NHGIS PUMA code is 10200"
in.county_and_puma	"G5300570, G53010200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 057, the NHGIS PUMA code is 10200"
in.county_and_puma	"G5300590, G53011000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 059, the NHGIS PUMA code is 11000"
in.county_and_puma	"G5300610, G53011701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 061, the NHGIS PUMA code is 11701"
in.county_and_puma	"G5300610, G53011702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 061, the NHGIS PUMA code is 11702"
in.county_and_puma	"G5300610, G53011703"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 061, the NHGIS PUMA code is 11703"
in.county_and_puma	"G5300610, G53011704"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 061, the NHGIS PUMA code is 11704"
in.county_and_puma	"G5300610, G53011705"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 061, the NHGIS PUMA code is 11705"
in.county_and_puma	"G5300610, G53011706"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 061, the NHGIS PUMA code is 11706"
in.county_and_puma	"G5300630, G53010501"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 063, the NHGIS PUMA code is 10501"
in.county_and_puma	"G5300630, G53010502"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 063, the NHGIS PUMA code is 10502"
in.county_and_puma	"G5300630, G53010503"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 063, the NHGIS PUMA code is 10503"
in.county_and_puma	"G5300630, G53010504"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 063, the NHGIS PUMA code is 10504"
in.county_and_puma	"G5300650, G53010400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 065, the NHGIS PUMA code is 10400"
in.county_and_puma	"G5300670, G53011401"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 067, the NHGIS PUMA code is 11401"
in.county_and_puma	"G5300670, G53011402"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 067, the NHGIS PUMA code is 11402"
in.county_and_puma	"G5300690, G53011200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 069, the NHGIS PUMA code is 11200"
in.county_and_puma	"G5300710, G53010703"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 071, the NHGIS PUMA code is 10703"
in.county_and_puma	"G5300730, G53010100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 073, the NHGIS PUMA code is 10100"
in.county_and_puma	"G5300750, G53010600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 075, the NHGIS PUMA code is 10600"
in.county_and_puma	"G5300770, G53010901"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 077, the NHGIS PUMA code is 10901"
in.county_and_puma	"G5300770, G53010902"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 53, the NHGIS county code is 077, the NHGIS PUMA code is 10902"
in.county_and_puma	"G5400010, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 001, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400030, G54000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 003, the NHGIS PUMA code is 00400"
in.county_and_puma	"G5400050, G54000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 005, the NHGIS PUMA code is 00900"
in.county_and_puma	"G5400070, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 007, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5400090, G54000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 009, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5400110, G54000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 011, the NHGIS PUMA code is 00800"
in.county_and_puma	"G5400130, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 013, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5400150, G54001000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 015, the NHGIS PUMA code is 01000"
in.county_and_puma	"G5400170, G54000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 017, the NHGIS PUMA code is 00200"
in.county_and_puma	"G5400190, G54001200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 019, the NHGIS PUMA code is 01200"
in.county_and_puma	"G5400210, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 021, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5400230, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 023, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400250, G54001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 025, the NHGIS PUMA code is 01100"
in.county_and_puma	"G5400270, G54000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 027, the NHGIS PUMA code is 00400"
in.county_and_puma	"G5400290, G54000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 029, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5400310, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 031, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400330, G54000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 033, the NHGIS PUMA code is 00200"
in.county_and_puma	"G5400350, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 035, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5400370, G54000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 037, the NHGIS PUMA code is 00400"
in.county_and_puma	"G5400390, G54001000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 039, the NHGIS PUMA code is 01000"
in.county_and_puma	"G5400410, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 041, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400430, G54000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 043, the NHGIS PUMA code is 00900"
in.county_and_puma	"G5400450, G54001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 045, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5400470, G54001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 047, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5400490, G54000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 049, the NHGIS PUMA code is 00200"
in.county_and_puma	"G5400510, G54000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 051, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5400530, G54000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 053, the NHGIS PUMA code is 00800"
in.county_and_puma	"G5400550, G54001200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 055, the NHGIS PUMA code is 01200"
in.county_and_puma	"G5400570, G54000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 057, the NHGIS PUMA code is 00400"
in.county_and_puma	"G5400590, G54001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 059, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5400610, G54000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 061, the NHGIS PUMA code is 00300"
in.county_and_puma	"G5400630, G54001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 063, the NHGIS PUMA code is 01100"
in.county_and_puma	"G5400650, G54000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 065, the NHGIS PUMA code is 00400"
in.county_and_puma	"G5400670, G54001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 067, the NHGIS PUMA code is 01100"
in.county_and_puma	"G5400690, G54000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 069, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5400710, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 071, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400730, G54000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 073, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5400750, G54001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 075, the NHGIS PUMA code is 01100"
in.county_and_puma	"G5400770, G54000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 077, the NHGIS PUMA code is 00300"
in.county_and_puma	"G5400790, G54000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 079, the NHGIS PUMA code is 00900"
in.county_and_puma	"G5400810, G54001200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 081, the NHGIS PUMA code is 01200"
in.county_and_puma	"G5400830, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 083, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400850, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 085, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5400870, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 087, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5400890, G54001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 089, the NHGIS PUMA code is 01100"
in.county_and_puma	"G5400910, G54000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 091, the NHGIS PUMA code is 00200"
in.county_and_puma	"G5400930, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 093, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400950, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 095, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5400970, G54000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 097, the NHGIS PUMA code is 00500"
in.county_and_puma	"G5400990, G54000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 099, the NHGIS PUMA code is 00800"
in.county_and_puma	"G5401010, G54001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 101, the NHGIS PUMA code is 01100"
in.county_and_puma	"G5401030, G54000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 103, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5401050, G54000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 105, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5401070, G54000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 107, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5401090, G54001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 54, the NHGIS county code is 109, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5500010, G55001601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 001, the NHGIS PUMA code is 01601"
in.county_and_puma	"G5500030, G55000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 003, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5500050, G55055101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 005, the NHGIS PUMA code is 55101"
in.county_and_puma	"G5500070, G55000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 007, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5500090, G55000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 009, the NHGIS PUMA code is 00200"
in.county_and_puma	"G5500090, G55000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 009, the NHGIS PUMA code is 00300"
in.county_and_puma	"G5500110, G55000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 011, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5500130, G55000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 013, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5500150, G55001401"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 015, the NHGIS PUMA code is 01401"
in.county_and_puma	"G5500170, G55055101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 017, the NHGIS PUMA code is 55101"
in.county_and_puma	"G5500170, G55055103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 017, the NHGIS PUMA code is 55103"
in.county_and_puma	"G5500190, G55055101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 019, the NHGIS PUMA code is 55101"
in.county_and_puma	"G5500210, G55001000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 021, the NHGIS PUMA code is 01000"
in.county_and_puma	"G5500230, G55000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 023, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5500250, G55000101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 025, the NHGIS PUMA code is 00101"
in.county_and_puma	"G5500250, G55000102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 025, the NHGIS PUMA code is 00102"
in.county_and_puma	"G5500250, G55000103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 025, the NHGIS PUMA code is 00103"
in.county_and_puma	"G5500270, G55001001"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 027, the NHGIS PUMA code is 01001"
in.county_and_puma	"G5500290, G55001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 029, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5500310, G55000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 031, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5500330, G55055102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 033, the NHGIS PUMA code is 55102"
in.county_and_puma	"G5500350, G55055103"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 035, the NHGIS PUMA code is 55103"
in.county_and_puma	"G5500370, G55001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 037, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5500390, G55001401"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 039, the NHGIS PUMA code is 01401"
in.county_and_puma	"G5500410, G55000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 041, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5500430, G55000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 043, the NHGIS PUMA code is 00800"
in.county_and_puma	"G5500450, G55000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 045, the NHGIS PUMA code is 00800"
in.county_and_puma	"G5500470, G55001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 047, the NHGIS PUMA code is 01400"
in.county_and_puma	"G5500490, G55000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 049, the NHGIS PUMA code is 00800"
in.county_and_puma	"G5500510, G55000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 051, the NHGIS PUMA code is 00100"
in.county_and_puma	"G5500530, G55000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 053, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5500550, G55001001"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 055, the NHGIS PUMA code is 01001"
in.county_and_puma	"G5500570, G55001601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 057, the NHGIS PUMA code is 01601"
in.county_and_puma	"G5500590, G55010000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 059, the NHGIS PUMA code is 10000"
in.county_and_puma	"G5500610, G55001301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 061, the NHGIS PUMA code is 01301"
in.county_and_puma	"G5500630, G55000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 063, the NHGIS PUMA code is 00900"
in.county_and_puma	"G5500650, G55000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 065, the NHGIS PUMA code is 00800"
in.county_and_puma	"G5500670, G55000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 067, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5500690, G55000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 069, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5500710, G55001301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 071, the NHGIS PUMA code is 01301"
in.county_and_puma	"G5500730, G55001600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 073, the NHGIS PUMA code is 01600"
in.county_and_puma	"G5500750, G55001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 075, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5500770, G55001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 077, the NHGIS PUMA code is 01400"
in.county_and_puma	"G5500780, G55001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 078, the NHGIS PUMA code is 01400"
in.county_and_puma	"G5500790, G55040101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 40101"
in.county_and_puma	"G5500790, G55040301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 40301"
in.county_and_puma	"G5500790, G55040701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 40701"
in.county_and_puma	"G5500790, G55041001"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 41001"
in.county_and_puma	"G5500790, G55041002"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 41002"
in.county_and_puma	"G5500790, G55041003"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 41003"
in.county_and_puma	"G5500790, G55041004"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 41004"
in.county_and_puma	"G5500790, G55041005"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 079, the NHGIS PUMA code is 41005"
in.county_and_puma	"G5500810, G55000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 081, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5500830, G55001300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 083, the NHGIS PUMA code is 01300"
in.county_and_puma	"G5500850, G55000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 085, the NHGIS PUMA code is 00600"
in.county_and_puma	"G5500870, G55001500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 087, the NHGIS PUMA code is 01500"
in.county_and_puma	"G5500890, G55020000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 089, the NHGIS PUMA code is 20000"
in.county_and_puma	"G5500910, G55000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 091, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5500930, G55000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 093, the NHGIS PUMA code is 00700"
in.county_and_puma	"G5500950, G55055101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 095, the NHGIS PUMA code is 55101"
in.county_and_puma	"G5500970, G55001601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 55, the NHGIS county code is 097, the NHGIS PUMA code is 01601"
